"coefficients_mod2","factor","Estimate","Std. Error","t-value","p-value","serial_number","treat","g","mod","max_GR"
"Tb","(Intercept)",22.0091402868499,6.34869427974283,3.46671918934194,0.00243564180238172,"893048","NS","50%","modGR_Ex",0.183025125983049
"Tc","(Intercept)",34.9793421138003,0.165094732448003,211.874368098432,0.0000000000000000000000000000000000270304737349878,"893048","NS","50%","modGR_Ex",0.183025125983049
"ThetaT","(Intercept)",18.7828279443549,46.2233904437356,0.406348988337795,0.68880136720665,"893048","NS","50%","modGR_Ex",0.183025125983049
"To",NA,28.7,NA,NA,NA,"893048","NS","50%","modGR_Ex",0.183025125983049
"k","(Intercept)",0.197053545897141,0.0835134793387991,2.35954180639188,0.0255034711041844,"894492","COLD","50%","modGR_Ex",0.444758063333393
"Tb","(Intercept)",11.8218600472576,0.966182892074498,12.2356337958694,0.000000000000940218285184803,"894492","COLD","50%","modGR_Ex",0.444758063333393
"Tc","(Intercept)",37.2436782686276,0.651038256984615,57.20658942706,0.000000000000000000000000000000750073191289607,"894492","COLD","50%","modGR_Ex",0.444758063333393
"ThetaT","(Intercept)",31.3177955144814,5.11789809882781,6.1192690650981,0.00000132850977397777,"894492","COLD","50%","modGR_Ex",0.444758063333393
"To",NA,29.6,NA,NA,NA,"894492","COLD","50%","modGR_Ex",0.444758063333393
"k","(Intercept)",0.0228231989451908,1.18604499685703,0.0192431138832601,0.984783637501953,"894492","NS","50%","modGR_Ex",0.188709090559667
"Tb","(Intercept)",23.1389458152135,5.81048350627835,3.98227544923092,0.000440650036025199,"894492","NS","50%","modGR_Ex",0.188709090559667
"Tc","(Intercept)",37.336303037363,8.59108207215376,4.3459371850702,0.000165183931566387,"894492","NS","50%","modGR_Ex",0.188709090559667
"ThetaT","(Intercept)",20.360314503854,74.7777498634831,0.272277710161439,0.787406323583527,"894492","NS","50%","modGR_Ex",0.188709090559667
"To",NA,30.5,NA,NA,NA,"894492","NS","50%","modGR_Ex",0.188709090559667
"k","(Intercept)",0.0447610611517861,0.0227253162530811,1.9696562482697,0.0588431942193321,"895732","COLD","50%","modGR_Ex",0.330265720465666
"Tb","(Intercept)",9.67252916350969,0.690969060900067,13.9984982119317,0.0000000000000363332190888952,"895732","COLD","50%","modGR_Ex",0.330265720465666
"Tc","(Intercept)",40.0064073793082,0.484360903288812,82.5962770893865,0.0000000000000000000000000000000000272082119566764,"895732","COLD","50%","modGR_Ex",0.330265720465666
"ThetaT","(Intercept)",31.1744712440765,4.6770233006862,6.66545134370031,0.00000031145402576299,"895732","COLD","50%","modGR_Ex",0.330265720465666
"To",NA,27.1,NA,NA,NA,"895732","COLD","50%","modGR_Ex",0.330265720465666
"k","(Intercept)",0.0225187982302754,0.55960020432739,0.0402408684917151,0.96818666349562,"895732","NS","50%","modGR_Ex",0.186615610734775
"Tb","(Intercept)",20.7950731305784,8.26144832958771,2.51712197437615,0.0178348250129078,"895732","NS","50%","modGR_Ex",0.186615610734775
"Tc","(Intercept)",37.8056801357622,4.51642396129495,8.37071108907202,0.00000000417495008070652,"895732","NS","50%","modGR_Ex",0.186615610734775
"ThetaT","(Intercept)",25.0176738176227,63.1457315089086,0.396189468706894,0.694968399566138,"895732","NS","50%","modGR_Ex",0.186615610734775
"To",NA,29.7,NA,NA,NA,"895732","NS","50%","modGR_Ex",0.186615610734775
"k","(Intercept)",0.199642205332005,0.056535706116128,3.53125872208843,0.0014532477493594,"950323","COLD","50%","modGR_Ex",0.569496666065144
"Tb","(Intercept)",10.6076904941663,0.729415906246364,14.5427189115663,0.0000000000000141641726340796,"950323","COLD","50%","modGR_Ex",0.569496666065144
"Tc","(Intercept)",37.9222989106836,0.567336740767071,66.842663599418,0.00000000000000000000000000000000989562497749788,"950323","COLD","50%","modGR_Ex",0.569496666065144
"ThetaT","(Intercept)",27.1656042467009,2.82398279416355,9.61960685555353,0.000000000224977863853416,"950323","COLD","50%","modGR_Ex",0.569496666065144
"To",NA,30,NA,NA,NA,"950323","COLD","50%","modGR_Ex",0.569496666065144
"k","(Intercept)",0.0296895609566915,0.911741608960887,0.0325635691789132,0.974253644131897,"950323","NS","50%","modGR_Ex",0.244967007668617
"Tb","(Intercept)",20.3270186787847,15.9800868983662,1.27202178611826,0.21382885599936,"950323","NS","50%","modGR_Ex",0.244967007668617
"Tc","(Intercept)",37.2397758696733,5.25155878480752,7.09118518817803,0.000000102703316977466,"950323","NS","50%","modGR_Ex",0.244967007668617
"ThetaT","(Intercept)",19.4860544214834,85.7149072612271,0.227335653086542,0.82181452543705,"950323","NS","50%","modGR_Ex",0.244967007668617
"To",NA,29.3,NA,NA,NA,"950323","NS","50%","modGR_Ex",0.244967007668617
